time,outdoor_temperature
2025-11-09 00:00:00,20.9
2025-11-09 00:15:00,20.799999999999997
2025-11-09 00:30:00,20.7
2025-11-09 00:45:00,20.6
2025-11-09 01:00:00,20.5
2025-11-09 01:15:00,20.4
2025-11-09 01:30:00,20.3
2025-11-09 01:45:00,20.200000000000003
2025-11-09 02:00:00,20.1
2025-11-09 02:15:00,20.0
2025-11-09 02:30:00,19.9
2025-11-09 02:45:00,19.8
2025-11-09 03:00:00,19.7
2025-11-09 03:15:00,19.625
2025-11-09 03:30:00,19.549999999999997
2025-11-09 03:45:00,19.474999999999998
2025-11-09 04:00:00,19.4
2025-11-09 04:15:00,19.349999999999998
2025-11-09 04:30:00,19.299999999999997
2025-11-09 04:45:00,19.25
2025-11-09 05:00:00,19.2
2025-11-09 05:15:00,19.2
2025-11-09 05:30:00,19.2
2025-11-09 05:45:00,19.2
2025-11-09 06:00:00,19.2
2025-11-09 06:15:00,19.75
2025-11-09 06:30:00,20.299999999999997
2025-11-09 06:45:00,20.849999999999998
2025-11-09 07:00:00,21.4
2025-11-09 07:15:00,22.075
2025-11-09 07:30:00,22.75
2025-11-09 07:45:00,23.425
2025-11-09 08:00:00,24.1
2025-11-09 08:15:00,24.700000000000003
2025-11-09 08:30:00,25.3
2025-11-09 08:45:00,25.9
2025-11-09 09:00:00,26.5
2025-11-09 09:15:00,26.825
2025-11-09 09:30:00,27.15
2025-11-09 09:45:00,27.475
2025-11-09 10:00:00,27.8
2025-11-09 10:15:00,28.05
2025-11-09 10:30:00,28.3
2025-11-09 10:45:00,28.55
2025-11-09 11:00:00,28.8
2025-11-09 11:15:00,28.95
2025-11-09 11:30:00,29.1
2025-11-09 11:45:00,29.25
2025-11-09 12:00:00,29.4
2025-11-09 12:15:00,29.474999999999998
2025-11-09 12:30:00,29.549999999999997
2025-11-09 12:45:00,29.625
2025-11-09 13:00:00,29.7
2025-11-09 13:15:00,29.725
2025-11-09 13:30:00,29.75
2025-11-09 13:45:00,29.775
2025-11-09 14:00:00,29.8
2025-11-09 14:15:00,29.775
2025-11-09 14:30:00,29.75
2025-11-09 14:45:00,29.725
2025-11-09 15:00:00,29.7
2025-11-09 15:15:00,29.55
2025-11-09 15:30:00,29.4
2025-11-09 15:45:00,29.25
2025-11-09 16:00:00,29.1
2025-11-09 16:15:00,28.05
2025-11-09 16:30:00,27.0
2025-11-09 16:45:00,25.95
2025-11-09 17:00:00,24.9
2025-11-09 17:15:00,24.599999999999998
2025-11-09 17:30:00,24.299999999999997
2025-11-09 17:45:00,24.0
2025-11-09 18:00:00,23.7
2025-11-09 18:15:00,23.65
2025-11-09 18:30:00,23.6
2025-11-09 18:45:00,23.55
2025-11-09 19:00:00,23.5
2025-11-09 19:15:00,23.375
2025-11-09 19:30:00,23.25
2025-11-09 19:45:00,23.125
2025-11-09 20:00:00,23.0
2025-11-09 20:15:00,22.85
2025-11-09 20:30:00,22.7
2025-11-09 20:45:00,22.55
2025-11-09 21:00:00,22.4
2025-11-09 21:15:00,22.275
2025-11-09 21:30:00,22.15
2025-11-09 21:45:00,22.025
2025-11-09 22:00:00,21.9
2025-11-09 22:15:00,21.75
2025-11-09 22:30:00,21.6
2025-11-09 22:45:00,21.45
2025-11-09 23:00:00,21.3
2025-11-09 23:15:00,21.3
2025-11-09 23:30:00,21.3
2025-11-09 23:45:00,21.3
