time_chunk,count,mean,std,min,max,median,time_label,temp_change,temp_change_abs
53,15522,27.6922,2.6899,13.1652,38.0964,27.7296,13:15,0.0036999999999984823,0.0036999999999984823
54,15539,27.7034,2.6942,16.5946,38.3163,27.746,13:30,0.011199999999998766,0.011199999999998766
55,15521,27.745,2.7057,16.7202,38.3012,27.7761,13:45,0.041600000000002524,0.041600000000002524
56,15573,27.7928,2.7128,16.3296,38.4535,27.808,14:00,0.04779999999999873,0.04779999999999873
57,15506,27.8151,2.7293,16.6501,38.5591,27.8012,14:15,0.02230000000000132,0.02230000000000132
58,15509,27.8697,2.7266,17.2868,38.5242,27.8436,14:30,0.05460000000000065,0.05460000000000065
59,15570,27.8851,2.7683,17.4742,38.8433,27.8679,14:45,0.015399999999999636,0.015399999999999636
60,15523,27.9138,2.7944,16.5233,39.8669,27.8725,15:00,0.02869999999999706,0.02869999999999706
61,15519,27.9295,2.8037,17.4131,39.1581,27.8854,15:15,0.01570000000000249,0.01570000000000249
62,15490,27.9284,2.8428,14.324,39.383,27.8416,15:30,-0.001100000000000989,0.001100000000000989
63,15559,27.9537,2.8448,17.9732,39.8958,27.8541,15:45,0.025300000000001432,0.025300000000001432
64,15511,27.969,2.8449,17.0221,39.9423,27.872,16:00,0.01529999999999987,0.01529999999999987
65,15578,27.998,2.8689,17.8982,40.0105,27.9236,16:15,0.028999999999999915,0.028999999999999915
66,15508,28.0291,2.8815,18.4354,39.9902,27.9925,16:30,0.031099999999998573,0.031099999999998573
67,15548,28.0647,2.8726,18.4392,40.016,28.0185,16:45,0.035599999999998744,0.035599999999998744
68,15539,28.0985,2.8823,17.3119,39.8662,28.0418,17:00,0.03380000000000294,0.03380000000000294
69,15527,28.1235,2.8794,18.0514,39.8129,28.0712,17:15,0.02499999999999858,0.02499999999999858
70,15523,28.1473,2.8818,18.6185,39.5876,28.0301,17:30,0.023800000000001376,0.023800000000001376
71,15519,28.174,2.905,18.5568,39.7731,27.9887,17:45,0.02669999999999817,0.02669999999999817
72,15552,28.1814,2.9347,16.4355,39.9206,28.0283,18:00,0.007400000000000517,0.007400000000000517
73,15523,28.1672,2.9668,15.0019,39.9121,28.0369,18:15,-0.01419999999999888,0.01419999999999888
74,15560,28.1347,3.0026,12.2443,40.0622,27.9982,18:30,-0.032500000000002416,0.032500000000002416
75,15539,28.097,3.0211,11.4365,40.2877,27.9823,18:45,-0.0376999999999974,0.0376999999999974
76,15468,28.034,3.0579,11.7408,40.3029,27.9246,19:00,-0.06300000000000239,0.06300000000000239
77,15544,28.0127,3.0341,13.5394,40.3891,27.9255,19:15,-0.021300000000000097,0.021300000000000097
78,15517,27.9816,3.0124,13.3025,40.4103,27.8751,19:30,-0.031099999999998573,0.031099999999998573
79,15585,27.9754,3.0023,12.6948,40.3776,27.8641,19:45,-0.006199999999999761,0.006199999999999761
80,15537,27.9587,2.9709,10.3873,40.254,27.8459,20:00,-0.01670000000000016,0.01670000000000016
81,15525,27.9715,2.9277,11.364,40.23,27.8757,20:15,0.01279999999999859,0.01279999999999859
82,15555,27.9827,2.8905,13.3338,40.0612,27.8931,20:30,0.01120000000000232,0.01120000000000232
83,15545,28.0043,2.8543,11.5982,39.9298,27.9123,20:45,0.021599999999999397,0.021599999999999397
84,15571,28.0778,2.8086,11.3551,39.8521,28.0508,21:00,0.07349999999999923,0.07349999999999923
85,15576,28.104,2.7985,11.5456,39.7882,28.133,21:15,0.026199999999999335,0.026199999999999335
86,15606,28.1011,2.7825,11.8168,39.9123,28.0929,21:30,-0.0029000000000003467,0.0029000000000003467
87,15586,28.1107,2.7599,11.9258,39.4864,28.06,21:45,0.009600000000002495,0.009600000000002495
88,15580,28.098,2.7437,11.9726,39.6896,28.0248,22:00,-0.012700000000002376,0.012700000000002376
89,15581,28.0936,2.7497,11.3421,39.4701,28.027,22:15,-0.004400000000000404,0.004400000000000404
90,15576,28.0796,2.7466,12.5767,39.2273,28.0178,22:30,-0.013999999999999346,0.013999999999999346
91,15598,28.076,2.7337,11.9326,39.2635,28.0159,22:45,-0.0035999999999987153,0.0035999999999987153
92,15563,28.1117,2.6991,12.7396,39.1741,28.078,23:00,0.03569999999999851,0.03569999999999851
93,15588,28.1814,2.6829,13.6748,39.0602,28.259,23:15,0.06970000000000098,0.06970000000000098
94,15610,28.1708,2.6734,13.8736,38.9608,28.3325,23:30,-0.010600000000000165,0.010600000000000165
95,15577,28.1727,2.6804,12.2948,39.0109,28.3341,23:45,0.0018999999999991246,0.0018999999999991246
