time_chunk,count,mean,std,min,max,median,q25,q75,time_label,iqr,temp_change,temp_change_abs,mean_smooth,range
46,15563,27.4919,2.613,15.9126,37.213,27.4458,25.7752,29.473,11:30,3.6977999999999973,0.050600000000002865,0.050600000000002865,27.493666666666666,21.300400000000003
47,15555,27.5478,2.6214,14.8919,37.5105,27.549,25.7919,29.5348,11:45,3.7429000000000023,0.05589999999999762,0.05589999999999762,27.54006666666667,22.6186
48,15514,27.5805,2.6456,14.3869,37.6059,27.5743,25.849,29.6008,12:00,3.7517999999999994,0.03270000000000195,0.03270000000000195,27.586366666666667,23.218999999999998
49,15595,27.6308,2.6468,15.8215,37.3976,27.6385,25.9288,29.62,12:15,3.691200000000002,0.05030000000000001,0.05030000000000001,27.622566666666668,21.576099999999997
50,15504,27.6564,2.6518,14.416,37.5334,27.6441,25.9411,29.6767,12:30,3.7356000000000016,0.025600000000000733,0.025600000000000733,27.657566666666668,23.1174
51,15534,27.6855,2.6742,15.3015,37.6233,27.7059,25.9237,29.7088,12:45,3.7851,0.02909999999999968,0.02909999999999968,27.6768,22.3218
52,15544,27.6885,2.6679,16.8589,37.8225,27.6959,25.9014,29.7036,13:00,3.8022000000000027,0.0030000000000001137,0.0030000000000001137,27.68873333333333,20.9636
53,15522,27.6922,2.6899,13.1652,38.0964,27.7296,25.9086,29.702,13:15,3.793400000000002,0.0036999999999984823,0.0036999999999984823,27.6947,24.931200000000004
54,15539,27.7034,2.6942,16.5946,38.3163,27.746,25.9151,29.699,13:30,3.7839000000000027,0.011199999999998766,0.011199999999998766,27.71353333333333,21.7217
55,15521,27.745,2.7057,16.7202,38.3012,27.7761,25.9296,29.7489,13:45,3.8192999999999984,0.041600000000002524,0.041600000000002524,27.747066666666665,21.581000000000003
56,15573,27.7928,2.7128,16.3296,38.4535,27.808,25.9468,29.7606,14:00,3.8138000000000005,0.04779999999999873,0.04779999999999873,27.7843,22.1239
57,15506,27.8151,2.7293,16.6501,38.5591,27.8012,25.9535,29.7439,14:15,3.7904000000000018,0.02230000000000132,0.02230000000000132,27.825866666666666,21.909000000000002
58,15509,27.8697,2.7266,17.2868,38.5242,27.8436,26.0099,29.7818,14:30,3.7719000000000023,0.05460000000000065,0.05460000000000065,27.856633333333335,21.2374
59,15570,27.8851,2.7683,17.4742,38.8433,27.8679,26.0113,29.8215,14:45,3.810200000000002,0.015399999999999636,0.015399999999999636,27.889533333333333,21.3691
60,15523,27.9138,2.7944,16.5233,39.8669,27.8725,26.0087,29.8366,15:00,3.8278999999999996,0.02869999999999706,0.02869999999999706,27.90946666666667,23.343600000000002
61,15519,27.9295,2.8037,17.4131,39.1581,27.8854,25.9969,29.8459,15:15,3.849,0.01570000000000249,0.01570000000000249,27.9239,21.744999999999997
62,15490,27.9284,2.8428,14.324,39.383,27.8416,25.9592,29.8503,15:30,3.8911000000000016,-0.001100000000000989,0.001100000000000989,27.9372,25.059000000000005
63,15559,27.9537,2.8448,17.9732,39.8958,27.8541,26.0026,29.8181,15:45,3.8155,0.025300000000001432,0.025300000000001432,27.950366666666667,21.922600000000003
